,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
81,Carmen,7.204444,124.791667,76.1,89,89,1.92
82,Novopetrovskoye,55.992778,36.471944,44.6,42,0,13.42
83,Tīrthahalli,13.7,75.233333,73.9,86,30,6.33
84,Bical Norte,15.8143,120.4346,76.53,80,93,7
85,Augustdorf,51.9,8.733333,55.65,26,0,8.05
86,Chutove,49.710416,35.160255,38.57,78,99,13.18
87,Albina,5.5,-54.05,80.53,89,100,5.66
88,Parabel',58.697778,81.4825,40.77,89,100,12.46
89,Tsementnozavodskiy,67.566667,64.133333,31.84,98,100,7.56
90,Bensenville,41.955,-87.94,59.05,41,1,14.97
91,Masaguisi,12.75452,121.448415,76.1,86,82,4.18
92,San Pablo Tacachico,13.9755556,-89.34,81.23,69,0,2.35
93,Stewarton,55.7,-4.533333,51.62,80,100,5.99
94,San Ciro de Acosta,21.633333,-99.816667,82.6,49,96,2.68
95,Česká Lípa,50.686736,14.538125,44.91,51,48,7.49
96,La Plata,-34.921454,-57.954533,67.55,64,0,1.99
97,League City,29.5072222,-95.0947222,75.22,68,20,12.66
98,Lučenec,48.3333333,19.6666667,48.99,7,89,5.99
99,Mihai Viteazu,44.633333,28.683333,57.72,67,0,13.8
100,Kushuhum,47.712783,35.209172,46.2,81,75,17.9
101,Içara,-28.7,-49.3,71.01,50,0,8.84
102,La Foa,-21.7166667,165.8166667,68,94,90,4.61
103,Drezna,55.742082,38.847526,46.4,36,0,6.71
104,San Pedro,10.8018,121.9499,78.89,79,32,3.09
105,Cootehill,54.0725,-7.0819444,57.99,70,96,5.01
106,Alabat,14.101,122.0125,79.52,78,99,13.06
107,Miranda,-20.233333,-56.366667,83.71,43,5,4.14
108,Nizāmābād,18.8,78.283333,90.75,28,99,11.61
109,Zastron,-30.302249,27.083951,60.53,29,100,3.15
110,Vicência,-7.666667,-35.333333,82.4,61,40,10.36
111,Utrecht,-27.658623,30.32166,63.5,32,4,4.97
112,Torino,45.05,7.666667,56.35,76,100,4.07
113,Fauldhouse,55.816667,-3.716667,52.52,50,0,17.27
114,Little Baguio,7.893889,125.276389,66.9,96,99,1.66
115,Mătăcina,45.883333,26.8,45,43,32,4.79
116,Chudovo,59.116667,31.683333,33.94,98,100,5.17
117,Rīngas,27.35,75.566667,91.4,16,0,2.3
118,Komló,46.188855,18.260645,53.6,40,0,6.91
119,Rijeka,45.3430556,14.4091667,48,47,40,8.05
120,Jatāra,25.016667,79.05,90.03,5,0,3.62
121,Vakhrushi,58.67,50.070556,36.16,96,100,12.8
122,Libas,10.9388,124.545,76.17,85,21,6.38
123,Lanester,47.761319,-3.339652,62.51,48,0,20.71
124,Hamtic,10.7023,121.9824,78.08,81,29,4.52
125,Almendras,15.275762,120.698731,77,83,75,2.3
126,Semnan,35.572914,53.397139,81,21,64,4.47
127,Al Balyanā,26.2386111,32.0030556,87.8,20,0,18.41
128,Masuguru,-11.3666667,38.4166667,73.92,94,87,2.73
129,Carusucan,15.968611,120.637778,76.12,82,89,4.29
130,Gamboula,4.1333333,15.15,88.47,41,30,3.27
131,Mathura,27.5,77.683333,89.53,7,0,4.9
132,Brahmapur,19.316667,84.783333,81.82,71,40,9.69
133,El Espino,6.459169,-72.50104,70.97,61,87,5.7
134,Velký Šenov,50.992377,14.382757,47.03,39,72,4
135,Kamiiso,41.816667,140.65,35.71,72,0,6.04
136,Camposampiero,45.566667,11.933333,62.02,48,40,9.22
137,Studsdal,55.536919,9.609314,49.1,34,18,4.61
138,Pokrovskoye,43.288724,46.665274,56.95,81,100,8.55
139,Karacaköy,41.402864,28.383381,55.51,54,0,9.22
140,Kayyerkan,69.378611,87.743889,8.26,80,100,8.55
141,Bantilan,14.758138,121.669019,81,52,99,9.84
142,Peskovka,59.044781,52.360571,34.16,97,100,10.18
143,Pitangueiras,-21.033333,-48.216667,84.2,39,20,4.61
144,Vaitape,-16.5166667,-151.75,80.04,70,4,3.56
145,Botad,22.166667,71.666667,97.23,23,19,13.49
146,Huinan,42.6225,126.261389,55.2,55,100,13.69
147,Kfar Yona,32.316692,34.935073,66.99,68,40,10.36
148,East Wiltshire,46.24,-63.21,48.96,93,75,11.5
149,Capela,-9.416667,-36.066667,86,58,40,9.22
150,Engel's,51.483889,46.105278,50.02,53,100,3.56
151,Puno,-15.8333333,-70.0333333,53.6,28,0,4.61
152,Çermik,38.13613,39.449294,80.6,21,40,12.66
153,Shahdadpur,25.924059,68.619991,98.6,26,22,9.22
154,Balutakay,6.721111,125.351667,75.2,100,90,6.91
155,Ropcha,48.11988,25.774214,48.11,40,0,6.71
156,Mstera,56.378889,41.92,43.5,56,61,5.73
157,Nixa,37.0433333,-93.2941667,68.52,65,91,10
158,Graaff-Reinet,-32.25,24.55,84.99,19,100,5.99
159,Chã Grande,-8.233333,-35.45,82.4,61,40,10.36
160,Frekhaug,60.517222,5.246111,46.31,63,24,3
161,Tpig,41.78007,47.588963,54.03,73,82,7.87
162,Galesong,-5.3166,119.3661,78.8,89,20,8.41
163,Sehithwa,-20.4666667,22.7166667,78.01,22,5,2.04
164,Funza,4.716381,-74.211954,62.6,63,75,8.05
165,São Lourenço,-22.116667,-45.05,77.5,47,19,4.29
166,Arcadia,37.6666667,22.1833333,63.73,64,6,5.01
167,Izola,45.5369444,13.6619444,59.74,55,75,8.05
168,Csökmő,47.033333,21.3,53.02,32,0,4.61
169,Medina,21.15,-101.616667,71.6,37,75,7.49
170,Albeşti,46.233333,24.85,55.2,30,0,5.75
171,Bulihan,14.883333,120.9,80.53,74,20,8.05
172,Papenburg,53.066667,7.4,52.16,32,52,10.36
173,Fatehgarh Chūriān,31.862071,74.955344,84.2,32,0,4.52
174,Komarno,49.627392,23.699516,46.15,31,40,11.18
175,Espinho,41.007628,-8.641251,67.82,73,20,14.97
176,Piape I,10.745,121.9415,78.53,80,33,3.22
177,Verkhnyaya Maksakovka,61.635039,50.967404,44.6,57,20,2.24
178,Arkadak,51.932614,43.497785,48.9,58,84,7.72
179,Cosío,22.35,-102.3,74.46,29,88,4.92
180,Uvarovka,55.527778,35.606111,39.79,60,66,4.56
181,Pozos de Gamboa,22.95,-102.566667,66.2,37,75,11.5
182,Nova Londrina,-22.75,-53,81.84,38,5,9.31
183,Kerewan,13.4894444,-16.0911111,86,48,0,12.66
184,Tonosí,7.4333333,-80.4833333,87.37,57,97,11.32
185,Chirnogi,44.116667,26.566667,63.97,56,65,7
186,Pentecoste,-3.8,-39.283333,84,72,78,25.01
187,Bone South,16.2446,120.9958,69.35,96,100,3.85
188,Rákócziújfalu,47.066667,20.266667,51.8,37,0,3.18
189,Novyy Starodub,48.515801,33.173293,45.27,49,0,15.66
190,Inver Grove Heights,44.8480556,-93.0425,44.08,70,40,9.22
191,Kerecsend,47.8,20.35,54,37,100,4.65
192,Aleppo,36.2027778,37.1586111,64.22,55,0,21.83
193,Stepnoye,51.379722,46.849167,50.04,47,100,3.74
194,Frontignan,43.448478,3.753997,64.53,42,0,8.05
195,Dehra Dūn,30.316667,78.033333,77.5,18,0,5.79
196,Anyama,5.494622,-4.051831,89.6,66,20,12.66
197,Victoria,13.95,-88.6333333,75.67,69,20,3.44
198,Singureni,44.233611,25.943333,63.64,56,64,7
199,Torbay,47.65,-52.733333,46.35,53,90,19.57
200,Rāni,25.366667,73.3,89.38,5,0,4.09
201,Saint Augustine,29.8944444,-81.3147222,76.51,69,1,13.8
202,Brentwood,36.0330556,-86.7827778,68.43,48,40,5.75
203,Cabildo,-32.432778,-71.133611,53.6,94,90,5.86
204,Ōbu,35,136.966667,50.59,58,0,6.91
205,Girón,7.068205,-73.169809,75.2,78,40,3.44
206,Vintilă Vodă,45.466667,26.716667,33.01,63,78,6.6
207,Moanda,-1.9158333,12.6680556,75.33,86,88,1.41
208,Kapsabet,0.2,35.1,60.8,88,75,3.44
209,Dărmăneşti,45.016667,24.9,58.73,51,97,6.08
210,Lemta,35.666667,10.883333,73.4,64,100,19.57
211,Westfield,42.125,-72.75,47.12,39,1,20.71
212,Penugonda,16.666667,81.733333,86,66,20,8.05
213,Amparafaravola,-17.5833333,48.2166667,66.79,95,93,5.64
214,Campina Grande,-7.216667,-35.883333,86,48,40,10.36
215,Luleå,65.583333,22.15,41,42,0,11.5
216,Naka,36.05,140.166667,44.53,56,20,3.44
217,Třemošnice,49.870259,15.577777,50.13,32,0,2.3
218,Haining,30.536294,120.686384,66.52,72,0,6.71
219,Hānsi,29.1,75.966667,90.82,11,0,6.73
220,Mława,53.116667,20.383333,43.39,42,40,12.66
221,Welahan,-6.8,110.716667,77.05,81,13,4
222,Jalalpur Jattan,32.637443,74.218286,87.8,29,20,6.29
223,Krasnoarmeyskiy,47.0114,42.2072,42.91,95,100,8.03
224,Wolmaransstad,-27.197395,25.983106,67.12,22,63,5.77
225,Labasan,12.777318,121.469215,76.51,85,82,3.98
226,Spiridonovka,53.092483,50.646208,55.4,28,0,6.71
227,Santa Luzia,-7.633333,-47.2,88.27,57,84,2.95
228,Streetsboro,41.2391667,-81.3461111,49.19,43,1,2.21
229,Bexhill-on-Sea,50.85,0.483333,50.43,54,29,8.99
230,Monjarás,13.2005556,-87.3741667,87.8,55,20,0.18
231,Barreiro,38.663137,-9.072395,62.42,82,20,8.05
232,Pihuamo,19.25,-103.383333,77,50,90,3.36
233,Costeşti,45.05,26.766667,54.82,64,59,11.3
234,Néa Anchiálos,39.2833333,22.8166667,64.4,63,20,11.5
235,Namsos,64.483333,11.5,42.8,56,75,6.91
236,Yazd,31.897222,54.3675,78.8,25,75,18.41
237,Rudník,50.608353,15.737229,45.63,48,83,7.52
238,Pāsighāt,28.066667,95.333333,78.15,34,53,6.04
239,San Pedro Apatlaco,18.783333,-98.95,78.8,38,40,4.7
240,Sula,15.25,-88.5666667,83.34,74,40,6.91
241,Villa San Giovanni,38.216667,15.633333,63.55,72,0,13.8
242,Beltangadi,13.983333,75.3,76.48,77,42,8.95
243,Buduslău,47.4,22.266667,52.47,32,0,4.61
244,Rodenbach,50.15,9.033333,59.04,28,0,8.48
245,Itumbiara,-18.416667,-49.216667,91.13,21,17,4.09
246,Verbilki,56.533333,37.6,44.6,42,0,13.42
247,Emba,34.8083333,32.425,68.99,77,20,14.97
248,Pér,47.611528,17.806317,48.2,57,0,1.14
249,Nova Viçosa,-17.883333,-39.366667,85.57,58,66,11.1
250,Lampa,-33.283333,-70.9,66.79,48,0,3.51
251,Khomeynī Shahr,32.700175,51.521134,75.2,23,75,16.11
252,University Heights,41.4977778,-81.5375,48.58,53,75,1.19
253,Bada,51.392,109.8717,30.7,91,82,16.02
254,Kaizuka,34.45,135.35,45.99,58,19,17.27
255,Gavere,50.933333,3.666667,57.34,46,38,10
256,Andzhiyevskiy,44.238889,43.085556,57.11,82,75,6.71
257,Molchanovo,57.710278,83.576667,40.95,86,99,9.08
258,Corralillo,22.9819444,-80.5855556,85.59,54,0,11.52
259,Moravská Nová Ves,48.804341,17.012853,54.59,30,0,2.3
260,El Corpus,14.7,-88.9166667,77,73,75,4.34
261,Herat,34.348167,62.199673,78.8,17,0,3.44
262,Viga,13.8719,124.3091,75.27,89,88,6.89
263,Abra de Ilog,13.4437,120.7291,78.84,79,87,10.6
264,Cabayangan,7.407222,125.733056,75.2,100,90,6.91
265,Bathgate,55.9,-3.633333,52.56,50,0,17.27
266,Přibyslav,49.57721,15.738639,48.51,10,28,4
267,Wako,35.789444,139.623333,54.07,37,9,9.42
268,Nizhnyaya Krynka,48.113497,38.160636,49.8,70,96,13.11
269,Mondeville,49.170604,-0.317979,51.8,66,92,17.27
270,Rey Bouba,8.6666667,14.1833333,103.26,18,84,4.74
271,Gambang,16.75,120.7833,58.42,94,92,2.84
272,Manatal,14.816667,120.9,80.51,74,20,8.05
273,Šamorín,48.0333333,17.3166667,51.55,35,0,12.66
274,El Escorial,40.584557,-4.127668,59.45,75,99,5.01
275,Tecamachalco,18.883333,-97.733333,74.86,33,38,4
276,Menemen,38.607536,27.069382,65.21,52,20,19.57
277,Port Washington,43.3872222,-87.8755556,46.22,52,100,13
278,Immokalee,26.4183333,-81.4175,83.8,39,1,6.91
279,Pompeu,-19.166667,-45.1,90.79,26,52,2.28
280,Istmina,5.160538,-76.683971,80.31,84,100,4.74
281,Haileybury,47.433333,-79.633333,35.6,44,1,5.75
282,Karapyshi,49.642374,30.790024,44.4,62,61,8.12
283,Gobojango,-21.8166667,28.7833333,78.96,18,0,9.51
284,Hulubeşti,44.833333,25.233333,60.04,55,94,4.09
285,Kamsack,51.566667,-101.9,39.2,87,90,3.44
286,Yar,58.24898,52.102576,37.13,91,100,17.81
287,Zapotiltic,19.616667,-103.433333,77,50,90,2.64
288,Orange Park,30.1658333,-81.7066667,78.21,47,75,12.66
289,Todaka,31.6,131.366667,56.52,63,17,2.71
290,Kissidougou,9.1833333,-10.1,92.03,41,61,5.88
291,Tangping,22.026471,111.93229,70.66,96,100,4.94
292,Reusrath,51.1,6.95,60.51,30,0,10.36
293,New Waterford,46.25,-60.083333,48.65,100,90,37.98
294,Pirogovskiy,55.978056,37.733611,44.6,42,0,13.42
295,Luoyang,23.162442,114.273423,70.43,91,100,2.17
296,Ilo,-17.6394444,-71.3375,71.6,73,0,13.8
297,New Leyte,7.5,125.75,75.2,100,90,6.91
298,Sambrial,32.474553,74.35209,87.8,29,20,5.3
299,Daurāla,29.116667,77.683333,87.46,10,0,6.62
300,San Francisco del Valle,14.4333333,-88.95,78.82,65,20,4.61
301,Kiambu,-1.15,36.9666667,73.4,68,40,6.91
302,Mangaratiba,-22.9609,-44.0402,80.6,61,40,8.05
303,Mabusag,17.9261,120.4976,78.8,69,75,3.44
304,Ningbo,29.878186,121.549453,64.4,72,0,8.95
305,Bakulong,15.5211,120.6124,77,83,75,2.3
306,Bued,16.1622,119.9973,79.57,76,99,6.71
307,Clervaux,50.0547222,6.0313889,55.6,30,5,5.99
308,Melikhovskaya,47.48106,40.486689,46.24,87,40,11.18
309,Sabzawār,36.212598,57.681906,87.8,19,40,6.04
310,Vemalwāda,18.466667,78.883333,91.02,28,99,17.76
311,Ecséd,47.732667,19.766962,52.32,37,0,8.05
312,La Unión,14.966667,-89.283333,83.37,51,20,4.61
313,Opovo,45.052222,20.430278,58.42,33,0,10.36
314,Litchfield,42.8441667,-71.4802778,46.51,36,40,21.85
315,Oxapampa,-10.5666667,-75.4,65.23,89,43,4.25
316,Poienari,45.216667,25.05,55.26,53,80,5.28
317,Grande-Synthe,51.015397,2.299748,50.02,43,80,16.37
318,Kintra,55.633333,-6.183333,48.2,93,75,13.8
319,Phrai Bueng,14.748334,104.362611,84,62,100,0.92
320,Aratoca,6.693532,-73.020826,75.2,78,40,3.44
321,Santa Adélia,-21.266667,-48.8,86.31,25,70,5.41
322,Pagani,40.75,14.616667,68.63,30,99,1.99
323,Berwick,41.0544444,-76.2336111,48.47,41,7,1.01
324,Pajapita,14.716667,-92.033333,80.4,74,40,4.76
325,Lamaní,14.2,-87.6166667,80.29,65,20,3.44
326,Băcia,45.8,23.016667,54.64,46,96,4.79
327,Blechepsin,44.820278,40.500278,47.01,98,100,3.76
328,Bernissart,50.466667,3.633333,58.75,30,43,14.97
329,Duliāgaon,27.366667,95.316667,78.44,26,22,1.63
330,Carmo do Paranaíba,-18.983333,-46.35,84.99,49,30,6.76
331,Kouvarás,37.8333333,23.9666667,68,42,20,8.05
332,Saarbrücken,49.233333,7,60.21,29,0,11.5
333,Martano,40.2,18.3,67.48,40,0,14.97
334,Quípama,5.519404,-74.177653,77.92,58,81,3.91
335,Chambrey,10.9768,123.1682,80.58,75,17,13.13
336,Kfar Vradim,32.993849,35.277933,68,52,20,11.5
337,Misratah,32.3783333,15.0905556,69.4,62,100,20.6
338,Port Alfred,-33.590572,26.891037,73.31,70,100,4.12
339,Turrialba,9.904666,-83.683519,75.38,56,0,16.11
340,Gjirokastër,40.0758333,20.1388889,69.8,32,0,3.44
341,Hamoir,50.433333,5.533333,54.39,30,0,12.66
342,Grand Sable,-20.3141667,57.7644444,76.03,83,75,13.8
343,Krotoszyn,51.698677,17.437383,51.01,43,100,1.99
344,Mijas,36.595299,-4.639861,68.7,49,40,9.22
345,Gussago,45.583333,10.15,57.6,77,40,3.56
346,Åsgårdstrand,59.348889,10.4675,49.28,25,0,6.91
347,Port Keats,-14.24029,129.52092,81.34,66,82,6.11
348,Plosca,44.033333,25.133333,64,54,62,4.45
349,Troy,42.7283333,-73.6922222,45.01,40,8,13.78
350,Havârna,48.066667,26.65,48.13,46,0,3.44
351,Viana,-20.383333,-40.5,85.5,58,20,11.5
352,Eningen unter Achalm,48.483333,9.25,59.94,27,0,4.61
353,Los Planes,14.05,-88.0166667,69.8,64,40,4.61
354,Afonso Bezerra,-5.498056,-36.509167,99.37,23,43,10.63
355,Plácido de Castro,-10.333333,-67.183333,71.15,96,100,3.74
356,Dabeiba,7.001719,-76.267225,83.28,78,81,4.65
357,Bad Münder am Deister,52.2,9.466667,55.24,32,75,8.05
358,Cocorăștii Mislii,45.116667,25.933333,48.24,51,0,18.41
359,Hollabrunn,48.55,16.083333,53.91,40,64,3
360,Esqueda,30.716667,-109.583333,67.73,14,4,20.67
361,Chilia Veche,45.416667,29.283333,59,44,0,6.91
362,Kǝlbǝcǝr,39.947532,45.962121,45.18,83,70,7.65
363,Kostino,58.909656,53.269066,34.43,96,100,10.94
364,Tápiószecső,47.45,19.609232,52.61,37,0,8.05
365,Southbridge,42.075,-72.0338889,46.24,38,3,8.99
366,Registro,-24.5,-47.833333,75.42,72,88,2.91
367,Agnibilékrou,7.131132,-3.204147,87.51,59,78,2.19
368,Suffolk,36.7280556,-76.5838889,60.82,42,1,9.22
369,Orlat,45.75,23.966667,57.2,24,20,5.75
370,Gold Coast,-28.00029,153.430878,64.11,94,75,5.75
371,Apucarana,-23.55,-51.483333,78.1,47,40,5.75
372,Păltiniş,45.433333,22.15,52.83,53,99,3.18
373,Mărtiniş,46.233333,25.383333,57,35,82,4
374,Batesville,35.7697222,-91.6408333,68.99,60,1,11.5
375,Salingogan,13.4333,123.1923,73.51,86,100,4.43
376,Loon,9.7998,123.7929,82.4,74,90,8.05
377,Sault Ste. Marie,46.5,-84.333333,37.4,44,75,16.11
378,Yandev,7.3179,8.9951,95.94,36,81,9.55
379,Ewing,40.2697222,-74.8002778,50.4,40,1,14.97
380,Urzicuţa,44.016667,23.55,68,26,0,9.22
381,Malinao,7.591667,124.688889,69.22,91,78,1.61
382,Waalwijk,51.685764,5.072072,56.01,38,75,12.66
383,Paratinga,-12.7,-43.166667,91.56,36,37,3.71
384,Sternberk,49.726551,17.292981,46.36,57,63,3.33
385,Kebomas,-7.252778,112.591389,84.2,79,20,9.22
386,Mandalgovi,45.75,106.2666667,31.41,72,99,10.6
387,Suz-on,7.6775,125.673611,75.2,100,90,6.91
388,Bancal,11.5591,123.1551,80.11,76,35,15.48
389,Topeka,39.0483333,-95.6777778,71.87,60,1,17.27
390,Bārh,25.483333,85.716667,78.8,31,20,6.46
391,Chornyanka,46.652217,33.35904,51.21,57,40,13.42
392,Estanzuela,15,-89.566667,87.8,51,20,4.61
393,Coventry,41.7,-71.6833333,49.19,47,2,8.01
394,Fojnica,43.9625,17.8983333,62.6,34,0,6.91
395,Lökbatan,40.323718,49.728038,57.2,82,0,9.22
396,Padre Garcia,13.8791,121.2139,78.01,84,99,3.78
397,Rodino,52.5,80.25,54.27,72,100,9.46
398,Peristeri,38.0166667,23.7,68.05,43,20,6.91
399,Ballitoville,-29.538969,31.214386,73.67,73,0,8.05
400,Ofakim,31.314099,34.620254,64.99,12,1,1.01
401,Tupilaţi,47.066667,26.633333,47.97,65,93,4
402,Krasnosel'skiy,45.391944,40.6075,48,82,100,3.15
403,Winchester,39.1855556,-78.1636111,55.58,39,3,9.37
404,Dagshai,30.883333,77.05,63.52,23,1,5.95
405,Cabatuan,10.8794,122.486,76.14,84,28,6.96
406,Sulangan,10.936,125.8264,80.71,70,10,12.53
407,Bacuag,9.6086,125.6387,78.84,81,48,5.91
408,Mussomeli,37.583333,13.75,63.55,57,67,4
409,Talwāra,31.948611,75.866667,82.29,24,0,5.1
410,Nueva Gorgona,8.4833333,-79.95,83.88,66,40,5.75
411,Sourotí,40.4666667,23.0833333,65.59,59,20,13.8
412,Santiago,1.148444,-77.0045,66.2,75,89,4.88
413,Galeras,9.160948,-75.048108,89.06,57,98,5.66
414,Quincy,42.2527778,-71.0027778,49.64,37,20,17.27
415,Ashland,37.6947222,-122.1127778,49.87,81,40,5.75
416,Pioltello,45.5,9.333333,57.36,82,75,4.61
417,Storhaug,58.966667,5.75,45.41,61,75,16.11
418,Medford,42.4183333,-71.1066667,48.7,37,20,17.27
419,Lālpur,22.2,69.966667,85.14,56,0,16.13
420,Araruama,-22.883333,-42.333333,80.6,78,20,8.05
421,Moyotzingo,19.25,-98.4,64.4,48,1,2.3
422,Vorniceni,47.983333,26.666667,47.73,46,0,3.44
423,Ribiţa,46.183333,22.766667,51.8,45,99,4.14
424,Nikolaevo,43.3166667,25.9833333,69.8,30,13,8.05
425,Løten,60.816667,11.316667,48,36,25,3
426,Porto Franco,-6.324444,-47.277778,82.99,70,100,1.57
427,Colimes,-1.55,-80.0166667,82.4,61,75,3.44
428,Salāya,22.316667,69.6,83.08,70,0,15.3
429,Bhāyāvadar,21.85,70.25,89.4,39,2,13.18
430,Riverside,39.7797222,-84.1241667,59.81,47,1,8.05
431,Sukuta,13.4113889,-16.7088889,86,48,0,12.66
432,Crieff,56.316667,-3.833333,49.57,75,100,4
433,Surok,56.446944,48.121389,50,32,0,15.66
434,Biasca,46.360581,8.969103,58.59,72,75,2.3
435,Santiago,8.1,-80.9833333,85.71,58,99,6.82
436,Biga,14.250833,120.976667,80.53,74,20,8.05
437,Borduşani,44.483333,27.9,56.07,67,0,13.8
438,Santa Fe,11.152,123.7931,80.76,75,31,16.24
439,Itápolis,-21.583333,-48.766667,87.96,24,42,5.53
440,Dundalk,54,-6.4166667,57.99,70,100,4
441,Oerlinghausen,51.966667,8.666667,56.05,32,16,7.63
442,Nagydorog,46.627488,18.655647,46.99,60,100,3
443,Ufa,54.785167,56.045621,54.3,32,75,11.18
444,Shiraz,29.8742,52.8025,77,18,75,4.61
445,Zephyrhills,28.2333333,-82.1813889,79.61,57,75,8.59
446,Jovim,41.111022,-8.51903,67.93,77,20,9.22
447,Syumsi,57.11108,51.614938,42.21,65,99,10
448,Vânători,46.233333,24.933333,55.4,30,0,5.75
449,Crivina,45.583333,25.983333,42.67,63,85,2.57
450,Lupac,45.28,21.812778,57.7,30,0,9.22
451,Ziębice,50.600714,17.040233,46,48,99,4.41
452,Burē,10.7,37.066667,60.44,81,100,4.68
453,Astara,38.455977,48.87498,70.68,82,75,6.91
